timestamp,order_value,avg_price,mid_price,btc_executed,slippage,predicted_slippage,fee,market_impact,latency_ms
1747708912506,100.0,106294.0,106273.25,0.0009407868741415319,0.019525139204832825,0.0035211504165886254,0.1,9.496376735671019e-06,0.01320000046689529
1747708912606,100.0,106319.7,106286.9,0.0009405594635801268,0.03085987078370233,0.02084145854774988,0.1,9.49405984625428e-06,0.01610000072105322
1747708912706,100.0,106308.8,106281.25,0.0009406559005463329,0.025921787709499947,0.013889113756690108,0.1,9.495042357786593e-06,0.01900000006571645
1747708912806,100.0,106294.7,106294.3,0.0009407806786227347,0.0003763136875582032,0.004153913019308675,0.1,9.496313614754332e-06,0.01700000029813964
1747708912906,100.0,106294.7,106294.65,0.0009407806786227347,4.703905606059231e-05,0.004050470121526928,0.1,9.496313614754332e-06,0.016000000869098585
1747708913006,100.0,106294.7,106294.65,0.0009407806786227347,4.703905606059231e-05,0.003952110182339652,0.1,9.496313614754332e-06,0.011800000720540993
1747708913106,100.0,106294.7,106294.65,0.0009407806786227347,4.703905606059231e-05,0.003858467537426691,0.1,9.496313614754332e-06,0.022899999748915434
1747708913206,100.0,106305.6,106289.85,0.0009406842160714017,0.014817971800694043,0.011508571069882123,0.1,9.495330840150604e-06,0.02029999996011611
1747708913306,100.0,106308.0,106295.6,0.0009406629792677879,0.01166558164213211,0.013141979422371719,0.1,9.495114476734375e-06,0.023599999622092582
1747708913406,100.0,106306.8,106300.70000000001,0.0009406735975497334,0.005738438222882134,0.012155332470356939,0.1,9.495222657210049e-06,0.017299999854003545
1747708913506,100.0,106302.9,106297.65,0.000940708108621684,0.004938961491622816,0.009375272693603165,0.1,9.4955742607795e-06,0.018900000213761814
1747708913806,100.0,106310.0,106288.2,0.0009406452826639074,0.020510273012434976,0.014444686794362838,0.1,9.494934181418861e-06,0.013600000784208532
1747708913906,100.0,106308.8,106274.85,0.0009406559005463329,0.03194546969484981,0.01406248686170386,0.1,9.495042357786593e-06,0.018200000340584666
1747708914006,100.0,106311.38339397631,106284.5,0.0009406330423658665,0.025293804812849967,0.01617819782958918,0.1,9.494809475697712e-06,0.014599999303754885
1747708914106,100.0,106306.0,106300.3,0.0009406806765375425,0.005362167369233285,0.012146632505462662,0.1,9.495294778896537e-06,0.01269999938813271
1747708914206,100.0,106306.8,106290.05,0.0009406735975497334,0.015758765754649656,0.012783880383011592,0.1,9.495222657210049e-06,0.013899999430577736
1747708914406,100.0,106489.3,106294.95000000001,0.0009390614831724877,0.18284029485877856,0.1752202763452857,0.1,9.478798478642688e-06,0.015499999790336005
1747708914506,100.0,106306.0,106290.05,0.0009406806765375425,0.01500610828576813,0.013107463046921453,0.1,9.495294778896537e-06,0.019799999790848233
1747708914606,100.0,106306.8,106290.05,0.0009406735975497334,0.015758765754649656,0.013847925664492777,0.1,9.495222657210049e-06,0.013699999726668466
1747708914706,100.0,106297.4,106296.0,0.0009407567823860227,0.0013170768420205645,0.005444778075244017,0.1,9.496070156220758e-06,0.02009999934671214
